t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
38.500,40.0000,150.0000,43.7500,45.8970,6000.00,0.064000
38.600,40.0000,150.0000,43.8750,45.9304,6000.00,0.064000
38.700,40.0000,150.0000,43.8125,45.9637,6000.00,0.064000
38.800,40.0000,150.0000,43.8125,45.9970,6000.00,0.064000
38.900,40.0000,150.0000,43.9375,46.0301,6000.00,0.064000
39.000,40.0000,150.0000,44.0000,46.0632,6000.00,0.064000
39.100,40.0000,150.0000,44.1250,46.0963,6000.00,0.064000
39.200,40.0000,150.0000,44.0000,46.1292,6000.00,0.064000
39.300,40.0000,150.0000,44.0625,46.1621,6000.00,0.064000
39.400,40.0000,150.0000,44.1250,46.1949,6000.00,0.064000
39.500,40.0000,150.0000,44.1875,46.2276,6000.00,0.064000
39.600,40.0000,150.0000,44.2500,46.2603,6000.00,0.064000
39.700,40.0000,150.0000,44.2500,46.2929,6000.00,0.064000
39.800,40.0000,150.0000,44.3125,46.3254,6000.00,0.064000
39.900,40.0000,150.0000,44.2500,46.3578,6000.00,0.064000
40.000,40.0000,150.0000,44.2500,46.3902,6000.00,0.064000
40.100,40.0000,150.0000,44.3125,46.4225,6000.00,0.064000
40.200,40.0000,150.0000,44.3750,46.4547,6000.00,0.064000
40.300,40.0000,150.0000,44.3750,46.4869,6000.00,0.064000
